loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_precision,eval_recall,eval_f1,eval_accuracy,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3536,1.906062364578247,1.8530370370370373e-05,0.5,625,,,,,,,,,,,,,
0.3585,5.399031639099121,1.8382222222222223e-05,0.52,650,,,,,,,,,,,,,
0.3253,3.910227060317993,1.8234074074074076e-05,0.54,675,,,,,,,,,,,,,
0.3455,6.146637916564941,1.8085925925925925e-05,0.56,700,,,,,,,,,,,,,
0.3477,3.9437949657440186,1.793777777777778e-05,0.58,725,,,,,,,,,,,,,
0.3932,3.9065136909484863,1.778962962962963e-05,0.6,750,,,,,,,,,,,,,
0.3275,5.266110897064209,1.7641481481481484e-05,0.62,775,,,,,,,,,,,,,
0.3438,7.574906826019287,1.7493333333333334e-05,0.64,800,,,,,,,,,,,,,
0.3468,5.826570510864258,1.7345185185185187e-05,0.66,825,,,,,,,,,,,,,
0.4014,10.846964836120605,1.719703703703704e-05,0.68,850,,,,,,,,,,,,,
0.2878,3.1223278045654297,1.704888888888889e-05,0.7,875,,,,,,,,,,,,,
0.3617,5.589903354644775,1.6900740740740743e-05,0.72,900,,,,,,,,,,,,,
0.3618,2.0627877712249756,1.6752592592592592e-05,0.74,925,,,,,,,,,,,,,
0.3348,2.7322335243225098,1.6604444444444445e-05,0.76,950,,,,,,,,,,,,,
0.3549,3.8854477405548096,1.64562962962963e-05,0.78,975,,,,,,,,,,,,,
0.3295,2.6992859840393066,1.6308148148148148e-05,0.8,1000,,,,,,,,,,,,,
0.3672,9.211554527282715,1.616e-05,0.82,1025,,,,,,,,,,,,,
0.3262,2.6970999240875244,1.6011851851851854e-05,0.84,1050,,,,,,,,,,,,,
0.3011,6.718664169311523,1.5863703703703707e-05,0.86,1075,,,,,,,,,,,,,
0.267,2.930720090866089,1.5715555555555557e-05,0.88,1100,,,,,,,,,,,,,
0.3222,1.750915288925171,1.556740740740741e-05,0.9,1125,,,,,,,,,,,,,
0.4029,3.137305498123169,1.541925925925926e-05,0.92,1150,,,,,,,,,,,,,
0.3721,6.177759170532227,1.5271111111111112e-05,0.94,1175,,,,,,,,,,,,,
0.3011,4.2011823654174805,1.5122962962962964e-05,0.96,1200,,,,,,,,,,,,,
0.3645,6.0590949058532715,1.4974814814814815e-05,0.98,1225,,,,,,,,,,,,,
0.3141,5.015800952911377,1.4826666666666666e-05,1.0,1250,,,,,,,,,,,,,
,,,1.0,1250,0.29408538341522217,0.7852328159645233,0.801947463768116,0.7935021286130406,0.9109806572283077,772.6089,12.943,3.236,,,,,
0.2181,4.241076946258545,1.4678518518518518e-05,1.02,1275,,,,,,,,,,,,,
0.2663,6.381470680236816,1.4530370370370372e-05,1.04,1300,,,,,,,,,,,,,
0.2506,2.646406650543213,1.4382222222222224e-05,1.06,1325,,,,,,,,,,,,,
0.2944,5.350220680236816,1.4234074074074075e-05,1.08,1350,,,,,,,,,,,,,
0.2229,2.4639241695404053,1.4085925925925928e-05,1.1,1375,,,,,,,,,,,,,
0.3007,1.773310899734497,1.393777777777778e-05,1.12,1400,,,,,,,,,,,,,
0.3153,3.491978645324707,1.378962962962963e-05,1.1400000000000001,1425,,,,,,,,,,,,,
0.2537,5.6528239250183105,1.3641481481481482e-05,1.16,1450,,,,,,,,,,,,,
0.264,4.069461822509766,1.3493333333333333e-05,1.18,1475,,,,,,,,,,,,,
0.2275,4.2835774421691895,1.3345185185185185e-05,1.2,1500,,,,,,,,,,,,,
0.2575,6.547074794769287,1.3197037037037038e-05,1.22,1525,,,,,,,,,,,,,
0.2242,2.1910183429718018,1.304888888888889e-05,1.24,1550,,,,,,,,,,,,,
0.3002,3.6472156047821045,1.2900740740740742e-05,1.26,1575,,,,,,,,,,,,,
0.2163,3.9912328720092773,1.2752592592592593e-05,1.28,1600,,,,,,,,,,,,,
0.2745,3.316736936569214,1.2604444444444446e-05,1.3,1625,,,,,,,,,,,,,
0.2167,1.4839969873428345,1.2456296296296298e-05,1.32,1650,,,,,,,,,,,,,
0.225,5.0637993812561035,1.2308148148148149e-05,1.34,1675,,,,,,,,,,,,,
